site_id,erp_source,city,region,site_type,postcode,status,_ingestion_timestamp
SITE_NORTH_01,NAV1,Bradford,North England,Manufacturing,BD1 1AA,ACTIVE,2026-05-05T00:00:29.902979
SITE_NORTH_02,NAV1,Leeds,North England,Distribution,LS1 1BA,ACTIVE,2026-05-05T00:00:29.902982
SITE_MIDLANDS_01,NAV2,Birmingham,Midlands,Manufacturing,B1 1AA,ACTIVE,2026-05-05T00:00:29.902983
SITE_MIDLANDS_02,NAV2,Coventry,Midlands,Distribution,CV1 1AA,ACTIVE,2026-05-05T00:00:29.902985
SITE_SCOTLAND_01,M3_V133,Glasgow,Scotland,Manufacturing,G1 1AA,ACTIVE,2026-05-05T00:00:29.902986
SITE_WALES_01,M3_V133,Cardiff,Wales,Distribution,CF1 1AA,ACTIVE,2026-05-05T00:00:29.902987
SITE_SOUTH_01,CLOUDSUITE,Southampton,South England,Manufacturing,SO1 1AA,ACTIVE,2026-05-05T00:00:29.902988
SITE_SOUTH_02,CLOUDSUITE,Brighton,South England,Distribution,BN1 1AA,ACTIVE,2026-05-05T00:00:29.902990
SITE_EAST_01,TROPOS,Norwich,East England,Manufacturing,NR1 1AA,ACTIVE,2026-05-05T00:00:29.902994
SITE_EAST_02,TROPOS,Ipswich,East England,Distribution,IP1 1AA,ACTIVE,2026-05-05T00:00:29.902996
SITE_NORTH_03,NAV1,Manchester,North England,Sales Office,M1 1AA,ACTIVE,2026-05-05T00:00:29.902998
SITE_MIDLANDS_03,NAV2,Nottingham,Midlands,Sales Office,NG1 1AA,ACTIVE,2026-05-05T00:00:29.902999
