promotion_id,customer_id,product_id,erp_source,promotion_type,baseline_price,promotional_price,discount_pct,discount_amount,volume_units,trade_spend_amount,volume_uplift_pct,promo_start_date,promo_end_date,transaction_date,approval_status,_ingestion_timestamp
PROMO00001,CUST001,PROD001,NAV1,Volume Discount,1.09,0.92,15.60,0.17,500,85.00,12.5,2024-01-01,2024-01-28,2024-01-01,APPROVED,2024-01-01 06:00:00
PROMO00002,CUST002,PROD004,NAV2,Seasonal Promotion,3.99,3.19,20.05,0.80,200,160.00,18.2,2024-01-05,2024-02-02,2024-01-05,APPROVED,2024-01-05 06:00:00
PROMO00003,CUST003,PROD007,CLOUDSUITE,Bundle Deal,0.99,0.79,20.20,0.20,1000,200.00,22.0,2024-01-10,2024-01-17,2024-01-10,APPROVED,2024-01-10 06:00:00
PROMO00004,CUST004,PROD010,NAV1,Retailer Event,1.49,1.19,20.13,0.30,300,90.00,15.8,2024-01-15,2024-02-12,2024-01-15,APPROVED,2024-01-15 06:00:00
PROMO00005,CUST005,PROD013,NAV2,New Product Launch,1.89,1.51,20.11,0.38,150,57.00,28.5,2024-01-20,2024-02-17,2024-01-20,APPROVED,2024-01-20 06:00:00
PROMO00006,CUST006,PROD001,M3_V133,Volume Discount,1.08,0.86,20.37,0.22,400,88.00,14.2,2024-02-01,2024-02-28,2024-02-01,APPROVED,2024-02-01 06:00:00
PROMO00007,CUST007,PROD004,M3_V133,Seasonal Promotion,3.95,3.16,20.00,0.79,100,79.00,10.5,2024-02-05,2024-03-05,2024-02-05,APPROVED,2024-02-05 06:00:00
PROMO00008,CUST008,PROD012,TROPOS,Clearance,4.49,3.59,20.04,0.90,75,67.50,8.3,2024-02-10,2024-02-17,2024-02-10,APPROVED,2024-02-10 06:00:00
PROMO00009,CUST009,PROD015,CLOUDSUITE,Volume Discount,1.45,1.16,20.00,0.29,250,72.50,16.7,2024-02-15,2024-03-14,2024-02-15,APPROVED,2024-02-15 06:00:00
PROMO00010,CUST010,PROD007,NAV2,Market Development Fund,0.98,0.78,20.41,0.20,800,160.00,25.0,2024-02-20,2024-03-19,2024-02-20,APPROVED,2024-02-20 06:00:00
PROMO00011,CUST001,PROD016,NAV1,Bundle Deal,4.29,3.43,20.05,0.86,120,103.20,19.3,2024-03-01,2024-03-28,2024-03-01,APPROVED,2024-03-01 06:00:00
PROMO00012,CUST002,PROD010,NAV2,Retailer Event,1.49,1.04,30.20,0.45,600,270.00,32.1,2024-03-05,2024-04-02,2024-03-05,APPROVED,2024-03-05 06:00:00
PROMO00013,CUST003,PROD013,CLOUDSUITE,Seasonal Promotion,1.89,1.32,30.16,0.57,400,228.00,28.9,2024-03-10,2024-04-07,2024-03-10,APPROVED,2024-03-10 06:00:00
PROMO00014,CUST011,PROD001,NAV1,Volume Discount,1.09,0.76,30.28,0.33,700,231.00,35.2,2024-03-15,2024-04-12,2024-03-15,APPROVED,2024-03-15 06:00:00
PROMO00015,CUST012,PROD004,CLOUDSUITE,New Product Launch,4.07,2.85,29.98,1.22,80,97.60,22.4,2024-03-20,2024-04-17,2024-03-20,APPROVED,2024-03-20 06:00:00
PROMO00016,CUST004,PROD012,NAV1,Clearance,4.49,2.24,50.11,2.25,50,112.50,5.2,2024-04-01,2024-04-07,2024-04-01,APPROVED,2024-04-01 06:00:00
PROMO00017,CUST005,PROD015,NAV2,Volume Discount,1.45,1.01,30.34,0.44,350,154.00,27.8,2024-04-05,2024-05-03,2024-04-05,APPROVED,2024-04-05 06:00:00
PROMO00018,CUST006,PROD007,M3_V133,Bundle Deal,0.98,0.69,29.59,0.29,900,261.00,31.5,2024-04-10,2024-05-08,2024-04-10,APPROVED,2024-04-10 06:00:00
PROMO00019,CUST007,PROD016,M3_V133,Retailer Event,4.25,2.98,29.88,1.27,60,76.20,18.6,2024-04-15,2024-05-13,2024-04-15,APPROVED,2024-04-15 06:00:00
PROMO00020,CUST008,PROD001,TROPOS,Seasonal Promotion,1.09,0.65,40.37,0.44,1000,440.00,45.2,2024-04-20,2024-05-18,2024-04-20,APPROVED,2024-04-20 06:00:00
PROMO00021,CUST001,PROD004,NAV1,Volume Discount,3.99,2.79,30.08,1.20,300,360.00,33.7,2024-05-01,2024-05-28,2024-05-01,APPROVED,2024-05-01 06:00:00
PROMO00022,CUST002,PROD013,NAV2,Market Development Fund,1.87,1.31,29.95,0.56,500,280.00,26.3,2024-05-05,2024-06-02,2024-05-05,APPROVED,2024-05-05 06:00:00
PROMO00023,CUST009,PROD010,CLOUDSUITE,New Product Launch,1.49,1.04,30.20,0.45,200,90.00,24.1,2024-05-10,2024-06-07,2024-05-10,APPROVED,2024-05-10 06:00:00
PROMO00024,CUST010,PROD012,NAV2,Clearance,4.49,1.80,59.91,2.69,40,107.60,-2.3,2024-05-15,2024-05-22,2024-05-15,APPROVED,2024-05-15 06:00:00
PROMO00025,CUST003,PROD016,CLOUDSUITE,Volume Discount,4.37,3.06,29.98,1.31,150,196.50,21.8,2024-05-20,2024-06-17,2024-05-20,APPROVED,2024-05-20 06:00:00
PROMO00026,CUST001,PROD007,NAV1,Bundle Deal,0.98,0.69,29.59,0.29,1200,348.00,38.4,2024-06-01,2024-06-28,2024-06-01,APPROVED,2024-06-01 06:00:00
PROMO00027,CUST004,PROD015,NAV1,Seasonal Promotion,1.45,0.87,40.00,0.58,400,232.00,42.1,2024-06-05,2024-07-03,2024-06-05,APPROVED,2024-06-05 06:00:00
PROMO00028,CUST012,PROD001,CLOUDSUITE,Retailer Event,1.11,0.78,29.73,0.33,600,198.00,28.9,2024-06-10,2024-07-08,2024-06-10,APPROVED,2024-06-10 06:00:00
PROMO00029,CUST008,PROD004,TROPOS,Volume Discount,4.49,3.14,30.07,1.35,100,135.00,18.2,2024-06-15,2024-07-13,2024-06-15,APPROVED,2024-06-15 06:00:00
PROMO00030,CUST006,PROD013,M3_V133,Market Development Fund,1.92,0.96,50.00,0.96,200,192.00,3.1,2024-06-20,2024-06-27,2024-06-20,APPROVED,2024-06-20 06:00:00
